TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2014,3,16,5,21,57XX CROWN ST,Dunbar-Southlands,485900.2699,5453492.0782
Break and Enter Residential/Other,2003,8,11,14,30,57XX CROWN ST,Dunbar-Southlands,485900.916,5453525.0482
Break and Enter Residential/Other,2015,11,30,18,0,57XX CROWN ST,Dunbar-Southlands,485900.916,5453525.0482
Break and Enter Residential/Other,2004,1,10,15,0,57XX DUNBAR ST,Dunbar-Southlands,486512.299,5453472.5447
Break and Enter Residential/Other,2007,7,13,11,0,57XX DUNBAR ST,Dunbar-Southlands,486512.299,5453472.5447
Break and Enter Residential/Other,2008,10,27,22,0,57XX DUNBAR ST,Dunbar-Southlands,486512.299,5453472.5447
Break and Enter Residential/Other,2018,1,17,8,0,57XX DUNBAR ST,Dunbar-Southlands,486512.38,5453485.4507
Break and Enter Residential/Other,2011,8,8,11,45,57XX DUNBAR ST,Dunbar-Southlands,486512.5207,5453507.743
Break and Enter Residential/Other,2017,3,27,12,0,57XX DUNBAR ST,Dunbar-Southlands,486512.5535,5453513.0227
Break and Enter Residential/Other,2017,9,11,13,0,57XX DUNBAR ST,Dunbar-Southlands,486512.5535,5453513.0227
Break and Enter Residential/Other,2013,5,2,12,0,57XX HIGHBURY ST,Dunbar-Southlands,486283.228,5453489.5051
Break and Enter Residential/Other,2006,6,12,0,30,57XX HIGHBURY ST,Dunbar-Southlands,486284.5997,5453547.041
Break and Enter Residential/Other,2010,2,24,16,0,57XX HIGHBURY ST,Dunbar-Southlands,486292.12,5453478.8261
Break and Enter Residential/Other,2014,10,21,10,0,57XX HIGHBURY ST,Dunbar-Southlands,486292.12,5453478.8261
Break and Enter Residential/Other,2014,5,14,13,53,57XX HIGHBURY ST,Dunbar-Southlands,486293.2007,5453524.1574
Break and Enter Residential/Other,2012,8,6,22,26,57XX HIGHBURY ST,Dunbar-Southlands,486293.6995,5453545.0796
Break and Enter Residential/Other,2013,1,4,7,0,57XX HOLLAND ST,Dunbar-Southlands,485996.1153,5453536.1421
Break and Enter Residential/Other,2007,11,16,22,0,57XX HOLLAND ST,Dunbar-Southlands,486005.2471,5453534.4735
Break and Enter Residential/Other,2013,6,17,15,30,57XX OLYMPIC ST,Dunbar-Southlands,486189.5778,5453484.4985
Break and Enter Residential/Other,2015,7,25,20,0,57XX OLYMPIC ST,Dunbar-Southlands,486189.5778,5453484.4985
Break and Enter Residential/Other,2020,2,18,8,12,57XX OLYMPIC ST,Dunbar-Southlands,486198.7297,5453484.9795
Break and Enter Residential/Other,2020,9,1,20,48,57XX OLYMPIC ST,Dunbar-Southlands,486199.0268,5453505.1337
Break and Enter Residential/Other,2014,4,19,21,0,57XX OLYMPIC ST,Dunbar-Southlands,486199.3327,5453525.9035
Break and Enter Residential/Other,2013,1,31,10,0,57XX WALLACE ST,Dunbar-Southlands,486096.8913,5453523.2159
Break and Enter Residential/Other,2007,9,25,11,0,57XX WALLACE ST,Dunbar-Southlands,486096.9048,5453550.7314
Break and Enter Residential/Other,2016,1,15,19,0,57XX WALLACE ST,Dunbar-Southlands,486096.9048,5453550.7314
Break and Enter Residential/Other,2017,2,15,18,0,57XX WALLACE ST,Dunbar-Southlands,486096.9069,5453554.9178
Break and Enter Residential/Other,2015,12,8,18,0,57XX WALLACE ST,Dunbar-Southlands,486106.0187,5453489.3461
Break and Enter Residential/Other,2021,4,9,0,0,57XX WALLACE ST,Dunbar-Southlands,486106.0357,5453523.9641
Break and Enter Residential/Other,2008,4,30,9,0,57XX WALLACE ST,Dunbar-Southlands,486106.0436,5453540.144
Break and Enter Residential/Other,2008,6,2,12,29,57XX WALLACE ST,Dunbar-Southlands,486106.0436,5453540.144
Break and Enter Residential/Other,2008,6,5,16,37,57XX WALLACE ST,Dunbar-Southlands,486106.0436,5453540.144
Break and Enter Residential/Other,2018,6,1,23,5,58XX ALMA ST,Dunbar-Southlands,486393.1428,5453381.362
Break and Enter Residential/Other,2019,12,31,18,16,58XX ALMA ST,Dunbar-Southlands,486393.2349,5453388.9212
Break and Enter Residential/Other,2006,12,23,9,0,58XX ALMA ST,Dunbar-Southlands,486393.6015,5453418.9976
Break and Enter Residential/Other,2012,5,15,2,57,58XX ALMA ST,Dunbar-Southlands,486393.6015,5453418.9976
Break and Enter Residential/Other,2013,11,11,23,0,58XX ALMA ST,Dunbar-Southlands,486393.6015,5453418.9976
Break and Enter Residential/Other,2011,10,14,21,22,58XX ALMA ST,Dunbar-Southlands,486402.5243,5453400.7921
Break and Enter Residential/Other,2007,1,1,19,30,58XX ALMA ST,Dunbar-Southlands,486402.7228,5453417.0767
Break and Enter Residential/Other,2008,9,10,20,47,58XX BLENHEIM ST,Dunbar-Southlands,486985.5667,5453422.3896
Break and Enter Residential/Other,2017,11,29,12,30,58XX DUNBAR ST,Dunbar-Southlands,486502.5098,5453431.5445
Break and Enter Residential/Other,2005,11,21,10,0,58XX DUNBAR ST,Dunbar-Southlands,486502.6733,5453440.3518
Break and Enter Residential/Other,2018,5,7,15,11,58XX DUNBAR ST,Dunbar-Southlands,486502.8862,5453451.8357
Break and Enter Residential/Other,2007,9,17,11,30,58XX DUNBAR ST,Dunbar-Southlands,486510.554,5453372.1847
Break and Enter Residential/Other,2012,12,16,12,0,58XX DUNBAR ST,Dunbar-Southlands,486511.5994,5453428.5254
Break and Enter Residential/Other,2009,11,22,23,30,58XX DUNBAR ST,Dunbar-Southlands,486511.9599,5453447.9532
Break and Enter Residential/Other,2010,9,28,12,0,58XX HIGHBURY ST,Dunbar-Southlands,486280.9419,5453393.6119
Break and Enter Residential/Other,2014,1,20,7,5,58XX HIGHBURY ST,Dunbar-Southlands,486280.9419,5453393.6119
Break and Enter Residential/Other,2015,12,21,9,0,58XX HIGHBURY ST,Dunbar-Southlands,486281.3992,5453412.7905
Break and Enter Residential/Other,2012,3,6,23,0,58XX HIGHBURY ST,Dunbar-Southlands,486281.8564,5453431.9692
Break and Enter Residential/Other,2014,10,2,20,0,58XX HIGHBURY ST,Dunbar-Southlands,486289.834,5453382.9329
Break and Enter Residential/Other,2008,11,7,9,0,58XX HIGHBURY ST,Dunbar-Southlands,486290.1249,5453395.1375
Break and Enter Residential/Other,2013,1,2,11,0,58XX HIGHBURY ST,Dunbar-Southlands,486291.6628,5453459.6474
Break and Enter Residential/Other,2004,10,25,4,0,58XX OLYMPIC ST,Dunbar-Southlands,486197.4206,5453396.0919
Break and Enter Residential/Other,2017,8,23,19,0,58XX OLYMPIC ST,Dunbar-Southlands,486197.6912,5453414.4772
Break and Enter Residential/Other,2018,1,14,2,22,58XX OLYMPIC ST,Dunbar-Southlands,486197.9841,5453434.3625
Break and Enter Residential/Other,2003,4,3,3,30,58XX WALLACE ST,Dunbar-Southlands,486096.8131,5453364.8015
Break and Enter Residential/Other,2003,1,2,17,0,58XX WALLACE ST,Dunbar-Southlands,486096.8154,5453368.7055
Break and Enter Residential/Other,2004,3,6,3,42,58XX WALLACE ST,Dunbar-Southlands,486096.8154,5453368.7055
Break and Enter Residential/Other,2020,7,2,15,22,58XX WALLACE ST,Dunbar-Southlands,486096.8546,5453448.8063
Break and Enter Residential/Other,2004,11,13,21,30,58XX WALLACE ST,Dunbar-Southlands,486096.8549,5453449.1356
Break and Enter Residential/Other,2013,11,30,14,0,58XX WALLACE ST,Dunbar-Southlands,486096.8549,5453449.1356
Break and Enter Residential/Other,2008,6,12,10,0,59XX ALMA ST,Dunbar-Southlands,486401.6202,5453326.6066
Break and Enter Residential/Other,2012,1,20,15,10,59XX BLENHEIM ST,Dunbar-Southlands,486984.3713,5453316.3579
Break and Enter Residential/Other,2012,8,11,20,0,59XX COLLINGWOOD ST,Dunbar-Southlands,486750.7254,5453288.9684
Break and Enter Residential/Other,2006,12,10,6,30,59XX DUNBAR ST,Dunbar-Southlands,486500.9096,5453289.0924
Break and Enter Residential/Other,2012,11,10,0,0,59XX DUNBAR ST,Dunbar-Southlands,486500.9687,5453307.1647
Break and Enter Residential/Other,2012,12,9,17,29,59XX DUNBAR ST,Dunbar-Southlands,486510.0191,5453278.5203
Break and Enter Residential/Other,2018,1,19,23,0,59XX DUNBAR ST,Dunbar-Southlands,486510.0191,5453278.5203
Break and Enter Residential/Other,2010,9,30,8,45,59XX OLYMPIC ST,Dunbar-Southlands,486197.0382,5453370.1295
Break and Enter Residential/Other,2006,1,19,22,0,60XX ALMA ST,Dunbar-Southlands,486391.7713,5453268.8172
Break and Enter Residential/Other,2006,11,10,0,0,60XX ALMA ST,Dunbar-Southlands,486391.7713,5453268.8172
Break and Enter Residential/Other,2007,6,9,11,8,60XX ALMA ST,Dunbar-Southlands,486391.8815,5453277.8642
Break and Enter Residential/Other,2010,6,30,8,0,60XX ALMA ST,Dunbar-Southlands,486400.0987,5453201.7579
Break and Enter Residential/Other,2018,6,20,0,0,60XX BLENHEIM ST,Dunbar-Southlands,486983.3374,5453211.0636
Break and Enter Residential/Other,2013,2,8,8,30,60XX BLENHEIM ST,Dunbar-Southlands,486983.6506,5453176.4721
Break and Enter Residential/Other,2005,1,28,13,0,60XX COLLINGWOOD PL,Dunbar-Southlands,486607.2086,5453234.4433
Break and Enter Residential/Other,2022,11,1,0,7,60XX COLLINGWOOD PL,Dunbar-Southlands,486608.3298,5453234.4246
Break and Enter Residential/Other,2012,9,15,17,45,60XX COLLINGWOOD PL,Dunbar-Southlands,486666.4051,5453224.3067
Break and Enter Residential/Other,2014,10,21,8,15,60XX COLLINGWOOD PL,Dunbar-Southlands,486666.4051,5453224.3067
Break and Enter Residential/Other,2003,1,19,23,0,60XX COLLINGWOOD ST,Dunbar-Southlands,486740.5867,5453218.3433
Break and Enter Residential/Other,2021,4,3,0,0,60XX COLLINGWOOD ST,Dunbar-Southlands,486740.5867,5453218.3433
Break and Enter Residential/Other,2017,3,6,14,50,60XX DUNBAR ST,Dunbar-Southlands,486500.6866,5453220.8192
Break and Enter Residential/Other,2018,2,1,12,0,60XX DUNBAR ST,Dunbar-Southlands,486500.6866,5453220.8192
Break and Enter Residential/Other,2004,11,5,17,30,60XX DUNBAR ST,Dunbar-Southlands,486500.6881,5453221.3212
Break and Enter Residential/Other,2013,11,11,14,30,60XX DUNBAR ST,Dunbar-Southlands,486500.8112,5453258.9719
Break and Enter Residential/Other,2020,3,2,10,50,60XX HIGHBURY ST,Dunbar-Southlands,486288.9485,5453254.6655
Break and Enter Residential/Other,2007,7,5,20,0,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2007,10,15,0,0,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2012,9,9,6,50,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2013,7,22,22,27,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2013,9,6,3,29,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2014,12,24,13,22,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2017,10,11,14,30,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2017,12,15,16,1,61XX BLENHEIM ST,Dunbar-Southlands,486984.4082,5453092.8272
Break and Enter Residential/Other,2012,6,2,9,0,61XX COLLINGWOOD PL,Dunbar-Southlands,486561.8283,5453187.1829
Break and Enter Residential/Other,2003,9,9,8,15,61XX COLLINGWOOD ST,Dunbar-Southlands,486740.982,5453124.7575
Break and Enter Residential/Other,2015,8,7,17,0,61XX COLLINGWOOD ST,Dunbar-Southlands,486740.982,5453124.7575
Break and Enter Residential/Other,2008,10,6,14,0,61XX COLLINGWOOD ST,Dunbar-Southlands,486750.1361,5453122.3965
Break and Enter Residential/Other,2012,6,15,15,30,61XX COLLINGWOOD ST,Dunbar-Southlands,486750.1361,5453122.3965
Break and Enter Residential/Other,2018,4,1,1,0,61XX COLLINGWOOD ST,Dunbar-Southlands,486750.145,5453120.2098
Break and Enter Residential/Other,2007,1,20,19,0,61XX GLENDALOUGH PL,Dunbar-Southlands,486865.9002,5453128.8782
Break and Enter Residential/Other,2021,3,13,22,2,61XX GLENDALOUGH PL,Dunbar-Southlands,486865.9136,5453126.3787
Break and Enter Residential/Other,2009,8,17,9,0,61XX GLENDALOUGH PL,Dunbar-Southlands,486865.9183,5453125.4172
Break and Enter Residential/Other,2009,8,26,13,15,61XX GLENDALOUGH PL,Dunbar-Southlands,486865.9183,5453125.4172
Break and Enter Residential/Other,2017,10,18,22,0,61XX GLENDALOUGH PL,Dunbar-Southlands,486865.9421,5453120.9565
Break and Enter Residential/Other,2009,5,25,12,0,61XX GLENDALOUGH PL,Dunbar-Southlands,486866.0455,5453101.1905
Break and Enter Residential/Other,2012,7,12,12,27,61XX GLENDALOUGH PL,Dunbar-Southlands,486866.0455,5453101.1905
Break and Enter Residential/Other,2007,2,14,18,0,61XX GLENDALOUGH PL,Dunbar-Southlands,486875.0804,5453122.0043
Break and Enter Residential/Other,2015,9,24,0,10,COLLINGWOOD ST / W 17TH AVE,Dunbar-Southlands,486769.3813,5456078.8495
Break and Enter Residential/Other,2006,5,20,21,0,W 35TH AVE / WALLACE ST,Dunbar-Southlands,486101.4981,5454208.6816
Mischief,2009,1,17,15,30,29XX W 27TH AVE,Dunbar-Southlands,487443.3512,5455037.3824
Mischief,2005,3,17,8,45,29XX W 27TH AVE,Dunbar-Southlands,487450.8893,5455037.3637
Mischief,2009,1,17,16,14,29XX W 27TH AVE,Dunbar-Southlands,487450.8893,5455037.3637
Mischief,2014,5,13,18,18,29XX W 27TH AVE,Dunbar-Southlands,487467.4293,5455037.3226
Mischief,2014,12,28,3,0,29XX W 27TH AVE,Dunbar-Southlands,487487.1391,5455046.4177
Mischief,2015,5,17,1,0,29XX W 27TH AVE,Dunbar-Southlands,487487.1391,5455046.4177
Mischief,2013,2,5,15,0,29XX W 28TH AVE,Dunbar-Southlands,487445.9075,5454931.4546
Mischief,2010,12,18,1,10,29XX W 28TH AVE,Dunbar-Southlands,487472.9569,5454930.8887
Mischief,2007,7,5,13,0,29XX W 28TH AVE,Dunbar-Southlands,487527.0557,5454929.7569
Mischief,2013,4,18,8,30,29XX W 28TH AVE,Dunbar-Southlands,487527.0557,5454929.7569
Mischief,2013,6,14,14,0,29XX W 28TH AVE,Dunbar-Southlands,487538.6483,5454929.5144
Mischief,2021,12,4,21,0,29XX W 28TH AVE,Dunbar-Southlands,487569.562,5454928.8677
Mischief,2006,3,13,17,0,29XX W 28TH AVE,Dunbar-Southlands,487608.204,5454928.0592
Mischief,2020,2,29,2,0,29XX W 29TH AVE,Dunbar-Southlands,487424.5957,5454826.0965
Mischief,2020,3,5,19,0,29XX W 29TH AVE,Dunbar-Southlands,487443.066,5454835.2588
Mischief,2016,3,19,22,0,29XX W 29TH AVE,Dunbar-Southlands,487502.2092,5454826.1734
Mischief,2020,5,18,21,0,29XX W 29TH AVE,Dunbar-Southlands,487502.2092,5454826.1734
Mischief,2011,4,17,13,30,29XX W 29TH AVE,Dunbar-Southlands,487517.2391,5454826.1884
Mischief,2020,1,5,0,10,29XX W 29TH AVE,Dunbar-Southlands,487528.8105,5454835.3439
Mischief,2022,7,30,23,0,29XX W 29TH AVE,Dunbar-Southlands,487548.1204,5454826.219
Mischief,2017,1,13,19,30,29XX W 30TH AVE,Dunbar-Southlands,487419.6082,5454730.6005
Mischief,2020,2,28,22,0,29XX W 30TH AVE,Dunbar-Southlands,487419.6082,5454730.6005
Mischief,2010,1,26,22,0,29XX W 30TH AVE,Dunbar-Southlands,487442.1164,5454721.1664
Mischief,2010,6,18,23,0,29XX W 30TH AVE,Dunbar-Southlands,487548.5096,5454719.7993
Mischief,2009,7,18,0,0,29XX W 31ST AVE,Dunbar-Southlands,487551.4487,5454614.0436
Mischief,2006,1,6,11,0,29XX W 32ND AVE,Dunbar-Southlands,487425.8557,5454518.3986
Mischief,2011,12,16,19,55,29XX W 32ND AVE,Dunbar-Southlands,487425.8557,5454518.3986
Mischief,2009,10,9,23,35,29XX W 32ND AVE,Dunbar-Southlands,487537.6949,5454516.591
Mischief,2003,3,23,3,0,29XX W 32ND AVE,Dunbar-Southlands,487581.6859,5454506.7347
Mischief,2008,7,12,21,0,29XX W 32ND AVE,Dunbar-Southlands,487593.5321,5454515.6884
Mischief,2010,2,20,16,0,29XX W 32ND AVE,Dunbar-Southlands,487593.5321,5454515.6884
Mischief,2004,2,14,20,0,29XX W 32ND AVE,Dunbar-Southlands,487605.0826,5454506.3565
Mischief,2010,1,2,0,0,29XX W 33RD AVE,Dunbar-Southlands,487413.76,5454405.3019
Mischief,2012,5,8,10,30,29XX W 33RD AVE,Dunbar-Southlands,487425.4313,5454414.431
Mischief,2012,5,16,18,10,29XX W 33RD AVE,Dunbar-Southlands,487425.4313,5454414.431
Mischief,2019,2,18,11,0,29XX W 33RD AVE,Dunbar-Southlands,487475.9446,5454405.2222
Mischief,2007,12,17,20,40,29XX W 33RD AVE,Dunbar-Southlands,487514.5738,5454414.3168
Mischief,2014,10,7,2,30,29XX W 33RD AVE,Dunbar-Southlands,487533.1678,5454405.149
Mischief,2009,2,28,12,0,29XX W 33RD AVE,Dunbar-Southlands,487538.1408,5454414.2866
Mischief,2018,9,30,0,0,29XX W 33RD AVE,Dunbar-Southlands,487581.5544,5454414.231
Mischief,2016,2,24,16,0,29XX W 33RD AVE,Dunbar-Southlands,487604.2002,5454405.0579
Mischief,2012,1,6,23,0,29XX W 34TH AVE,Dunbar-Southlands,487436.8725,5454297.4654
Mischief,2003,12,9,9,0,29XX W 34TH AVE,Dunbar-Southlands,487536.8795,5454305.6223
Mischief,2013,5,24,23,30,29XX W 34TH AVE,Dunbar-Southlands,487548.4084,5454305.5084
Mischief,2005,4,21,18,0,29XX W 35TH AVE,Dunbar-Southlands,487601.6152,5454193.4864
Mischief,2012,5,4,16,0,29XX W 35TH AVE,Dunbar-Southlands,487601.6152,5454193.4864
Mischief,2012,9,3,20,0,29XX W 35TH AVE,Dunbar-Southlands,487601.6641,5454202.6303
Mischief,2011,10,2,0,0,29XX W 36TH AVE,Dunbar-Southlands,487416.7937,5454086.4263
Mischief,2009,8,23,7,44,29XX W 36TH AVE,Dunbar-Southlands,487443.8122,5454095.4373
Mischief,2006,10,3,21,0,29XX W 36TH AVE,Dunbar-Southlands,487475.9881,5454086.1345
Mischief,2004,5,21,15,33,29XX W 36TH AVE,Dunbar-Southlands,487590.4038,5454094.7151
Mischief,2006,6,29,20,11,29XX W 36TH AVE,Dunbar-Southlands,487597.7376,5454085.5349
Mischief,2017,8,31,23,0,29XX W 36TH AVE,Dunbar-Southlands,487597.7376,5454085.5349
Mischief,2018,7,1,19,0,29XX W 37TH AVE,Dunbar-Southlands,487450.0347,5453983.8246
Mischief,2019,4,24,11,24,29XX W 37TH AVE,Dunbar-Southlands,487457.8543,5453992.8875
Mischief,2013,1,2,12,0,29XX W 37TH AVE,Dunbar-Southlands,487527.2753,5453983.018
Mischief,2013,1,11,9,0,29XX W 37TH AVE,Dunbar-Southlands,487527.2753,5453983.018
Mischief,2005,6,6,22,0,29XX W 37TH AVE,Dunbar-Southlands,487544.8598,5453982.8341
Mischief,2005,11,27,0,0,29XX W 37TH AVE,Dunbar-Southlands,487544.8598,5453982.8341
Mischief,2012,5,12,13,12,29XX W 37TH AVE,Dunbar-Southlands,487544.8598,5453982.8341
Mischief,2014,6,16,16,14,29XX W 37TH AVE,Dunbar-Southlands,487544.8598,5453982.8341
Mischief,2015,10,13,11,10,29XX W 37TH AVE,Dunbar-Southlands,487544.8598,5453982.8341
Mischief,2018,1,11,8,0,29XX W 37TH AVE,Dunbar-Southlands,487573.7152,5453991.6776
Mischief,2018,7,4,18,0,29XX W 37TH AVE,Dunbar-Southlands,487600.654,5453982.2517
Mischief,2012,4,2,14,55,29XX W 38TH AVE,Dunbar-Southlands,487436.2893,5453876.4693
Mischief,2013,12,31,0,0,29XX W 38TH AVE,Dunbar-Southlands,487551.4223,5453884.6484
Mischief,2015,6,10,0,0,29XX W 38TH AVE,Dunbar-Southlands,487551.4223,5453884.6484
Mischief,2016,4,15,18,0,29XX W 38TH AVE,Dunbar-Southlands,487551.4223,5453884.6484
Mischief,2018,4,25,0,0,29XX W 39TH AVE,Dunbar-Southlands,487439.9,5453777.9641
Mischief,2005,6,23,0,0,29XX W 39TH AVE,Dunbar-Southlands,487502.3072,5453777.3208
Mischief,2020,10,13,21,0,29XX W 39TH AVE,Dunbar-Southlands,487502.3072,5453777.3208
Mischief,2004,5,19,23,0,29XX W 39TH AVE,Dunbar-Southlands,487506.1134,5453768.137
Mischief,2006,3,17,23,30,29XX W 39TH AVE,Dunbar-Southlands,487525.6157,5453767.936
Mischief,2021,7,4,19,0,29XX W 39TH AVE,Dunbar-Southlands,487576.4159,5453776.5568
Mischief,2004,5,20,0,1,29XX W 39TH AVE,Dunbar-Southlands,487595.658,5453767.2139
Mischief,2004,5,20,5,20,29XX W 39TH AVE,Dunbar-Southlands,487595.658,5453767.2139
Mischief,2011,11,21,23,0,29XX W 39TH AVE,Dunbar-Southlands,487595.658,5453767.2139
Mischief,2017,8,30,18,0,29XX W 39TH AVE,Dunbar-Southlands,487595.658,5453767.2139
Mischief,2018,12,19,0,0,29XX W 39TH AVE,Dunbar-Southlands,487595.658,5453767.2139
Mischief,2020,6,12,22,0,29XX W 40TH AVE,Dunbar-Southlands,487413.675,5453666.3284
Mischief,2006,12,11,9,30,29XX W 40TH AVE,Dunbar-Southlands,487506.0519,5453664.5582
Mischief,2018,6,16,23,30,29XX W 40TH AVE,Dunbar-Southlands,487506.0519,5453664.5582
Mischief,2018,8,13,23,12,29XX W 41ST AVE,Dunbar-Southlands,487560.4724,5453567.9305
Mischief,2012,3,31,23,30,30XX W 24TH AVE,Dunbar-Southlands,487331.509,5455379.4206
Mischief,2012,4,4,20,40,30XX W 24TH AVE,Dunbar-Southlands,487331.509,5455379.4206
Mischief,2012,4,10,1,0,30XX W 24TH AVE,Dunbar-Southlands,487331.509,5455379.4206
Mischief,2012,8,31,22,0,30XX W 24TH AVE,Dunbar-Southlands,487335.1059,5455370.2469
Mischief,2003,6,7,2,30,30XX W 24TH AVE,Dunbar-Southlands,487403.03,5455369.6918
Mischief,2005,7,11,10,0,30XX W 24TH AVE,Dunbar-Southlands,487403.03,5455369.6918
Mischief,2007,8,2,17,0,30XX W 26TH AVE,Dunbar-Southlands,487404.4478,5455141.3786
Mischief,2015,4,27,3,56,30XX W 26TH AVE,Dunbar-Southlands,487404.4478,5455141.3786
Mischief,2003,4,6,18,0,30XX W 27TH AVE,Dunbar-Southlands,487348.2605,5455037.8077
Mischief,2006,2,5,19,30,30XX W 31ST AVE,Dunbar-Southlands,487395.2791,5454615.9779
Mischief,2004,12,21,21,36,30XX W 32ND AVE,Dunbar-Southlands,487330.4353,5454510.0862
Mischief,2012,2,25,19,30,30XX W 32ND AVE,Dunbar-Southlands,487362.4523,5454509.8618
Mischief,2016,4,11,21,0,30XX W 32ND AVE,Dunbar-Southlands,487390.8224,5454509.6627
Mischief,2016,4,17,21,0,30XX W 32ND AVE,Dunbar-Southlands,487390.8224,5454509.6627
Mischief,2016,4,21,11,1,30XX W 32ND AVE,Dunbar-Southlands,487390.8224,5454509.6627
Mischief,2005,11,15,19,0,30XX W 33RD AVE,Dunbar-Southlands,487331.4026,5454406.3974
Mischief,2016,2,8,0,0,30XX W 33RD AVE,Dunbar-Southlands,487394.0344,5454405.504
Mischief,2004,9,21,19,0,30XX W 34TH AVE,Dunbar-Southlands,487363.6005,5454298.1697
Mischief,2009,6,27,10,0,30XX W 35TH AVE,Dunbar-Southlands,487316.8228,5454194.9829
Mischief,2010,7,26,2,51,30XX W 35TH AVE,Dunbar-Southlands,487331.0948,5454204.054
Mischief,2004,5,8,3,0,30XX W 35TH AVE,Dunbar-Southlands,487389.7432,5454194.6098
Mischief,2004,8,16,13,39,30XX W 35TH AVE,Dunbar-Southlands,487389.7432,5454194.6098
Mischief,2018,7,22,0,0,30XX W 36TH AVE,Dunbar-Southlands,487314.5612,5454096.0962
Mischief,2012,8,24,23,10,30XX W 36TH AVE,Dunbar-Southlands,487389.4624,5454086.5649
Mischief,2004,6,10,20,30,30XX W 36TH AVE,Dunbar-Southlands,487400.8513,5454086.5063
Mischief,2011,9,25,1,45,30XX W 36TH AVE,Dunbar-Southlands,487400.8513,5454086.5063
Mischief,2012,5,4,16,30,30XX W 36TH AVE,Dunbar-Southlands,487400.8513,5454086.5063
Mischief,2006,10,31,19,47,30XX W 37TH AVE,Dunbar-Southlands,487316.3803,5453994.3437
Mischief,2018,6,19,17,0,30XX W 37TH AVE,Dunbar-Southlands,487345.8849,5453984.8981
Mischief,2017,11,12,18,0,30XX W 37TH AVE,Dunbar-Southlands,487392.1316,5453984.4261
Mischief,2018,6,19,11,0,30XX W 37TH AVE,Dunbar-Southlands,487399.5311,5453984.3506
Mischief,2018,6,19,21,0,30XX W 37TH AVE,Dunbar-Southlands,487399.5311,5453984.3506
Mischief,2004,10,7,1,0,30XX W 38TH AVE,Dunbar-Southlands,487308.737,5453877.2729
Mischief,2017,4,18,0,0,30XX W 38TH AVE,Dunbar-Southlands,487308.737,5453877.2729
Mischief,2017,7,20,8,0,30XX W 38TH AVE,Dunbar-Southlands,487396.8155,5453876.7833
Mischief,2018,6,19,17,0,30XX W 38TH AVE,Dunbar-Southlands,487396.8155,5453876.7833
Mischief,2004,5,19,19,0,30XX W 39TH AVE,Dunbar-Southlands,487342.6766,5453778.9275
Mischief,2003,7,1,6,30,30XX W KING EDWARD AVE,Dunbar-Southlands,487375.2924,5455248.4329
Mischief,2013,10,20,10,30,30XX W KING EDWARD AVE,Dunbar-Southlands,487375.2924,5455248.4329
Mischief,2009,6,20,3,5,30XX W KING EDWARD AVE,Dunbar-Southlands,487389.7949,5455279.1788
Mischief,2007,8,26,21,30,30XX W KING EDWARD AVE,Dunbar-Southlands,487416.0816,5455279.1532
Mischief,2016,4,20,12,30,30XX W KING EDWARD AVE,Dunbar-Southlands,487446.5621,5455248.0326
Mischief,2003,8,3,4,0,30XX W KING EDWARD AVE,Dunbar-Southlands,487474.5822,5455247.9737
Mischief,2004,5,23,19,30,31XX W 23RD AVE,Dunbar-Southlands,487272.703,5455472.4763
Mischief,2008,2,22,20,0,31XX W 24TH AVE,Dunbar-Southlands,487252.5701,5455380.0657
Mischief,2022,10,3,20,0,31XX W 24TH AVE,Dunbar-Southlands,487267.338,5455370.8009
Mischief,2007,7,1,0,0,31XX W 26TH AVE,Dunbar-Southlands,487222.6799,5455145.0126
Mischief,2004,6,30,16,30,31XX W 27TH AVE,Dunbar-Southlands,487245.6954,5455038.3587
Mischief,2003,4,7,2,45,31XX W 28TH AVE,Dunbar-Southlands,487275.9119,5454942.5594
Mischief,2003,12,15,22,30,31XX W 29TH AVE,Dunbar-Southlands,487221.7576,5454836.4375
Mischief,2008,2,29,12,0,31XX W 29TH AVE,Dunbar-Southlands,487221.7576,5454836.4375
Mischief,2020,6,4,21,0,31XX W 29TH AVE,Dunbar-Southlands,487221.7576,5454836.4375
Mischief,2008,7,13,1,15,31XX W 32ND AVE,Dunbar-Southlands,487221.2007,5454510.8519
Mischief,2004,9,22,18,24,31XX W 32ND AVE,Dunbar-Southlands,487268.2846,5454510.5219
Mischief,2004,6,11,22,0,31XX W 32ND AVE,Dunbar-Southlands,487285.2988,5454519.5469
Mischief,2005,7,13,0,24,31XX W 32ND AVE,Dunbar-Southlands,487307.835,5454510.2446
